Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
8830,SUMITOMO REALTY & DEVELOPMENT LTD,Real Estate,Equity,31489900.84,0.02275,31489900.84,1063126,29.62,Japan,Tokyo Stock Exchange,JPY
SNA,SNAP ON INC,Industrials,Equity,31496904.54,0.02275,31496904.54,82113,383.58,United States,New York Stock Exchange Inc.,USD
TSCO,TRACTOR SUPPLY,Consumer Discretionary,Equity,31467092.82,0.02273,31467092.82,795226,39.57,United States,NASDAQ,USD
GIS,GENERAL MILLS INC,Consumer Staples,Equity,31403993.85,0.02268,31403993.85,895977,35.05,United States,New York Stock Exchange Inc.,USD
BAM,BROOKFIELD ASSET MANAGEMENT VOTING,Financials,Equity,31376438.99,0.02267,31376438.99,650080,48.27,Canada,Toronto Stock Exchange,CAD
TSN,TYSON FOODS INC CLASS A,Consumer Staples,Equity,31340534.61,0.02264,31340534.61,485373,64.57,United States,New York Stock Exchange Inc.,USD
BESI,BE SEMICONDUCTOR INDUSTRIES NV,Information Technology,Equity,31283658.88,0.0226,31283658.88,116805,267.83,Netherlands,Euronext Amsterdam,EUR
EVN,EVOLUTION MINING LTD,Materials,Equity,31018920.97,0.02241,31018920.97,3183034,9.75,Australia,Asx - All Markets,AUD
LNT,ALLIANT ENERGY CORP,Utilities,Equity,31029916.34,0.02241,31029916.34,436181,71.14,United States,NASDAQ,USD
8309,SUMITOMO MITSUI TRUST GROUP INC,Financials,Equity,30767007.37,0.02222,30767007.37,943946,32.59,Japan,Tokyo Stock Exchange,JPY
FSLR,FIRST SOLAR INC,Information Technology,Equity,30726642.77,0.0222,30726642.77,164657,186.61,United States,NASDAQ,USD
SCMN,SWISSCOM AG,Communication,Equity,30739570.4,0.0222,30739570.4,36402,844.45,Switzerland,SIX Swiss Exchange,CHF
CDE,COEUR MINING INC,Materials,Equity,30574663.28,0.02209,30574663.28,1658062,18.44,United States,New York Stock Exchange Inc.,USD
EPI A,EPIROC CLASS A,Industrials,Equity,30573370.19,0.02208,30573370.19,1125261,27.17,Sweden,Nasdaq Omx Nordic,SEK
TROW,T ROWE PRICE GROUP INC,Financials,Equity,30531550.96,0.02205,30531550.96,307964,99.14,United States,NASDAQ,USD
BALL,BALL CORP,Materials,Equity,30460320,0.022,30460320,480750,63.36,United States,New York Stock Exchange Inc.,USD
GBP,GBP CASH,Cash and/or Derivatives,Cash,30420820.31,0.02197,30420820.31,22519762,135.09,United Kingdom,--,GBP
7013,IHI CORP,Industrials,Equity,30413878.97,0.02197,30413878.97,1570300,19.37,Japan,Tokyo Stock Exchange,JPY
FFIV,F5 INC,Information Technology,Equity,30329102.72,0.02191,30329102.72,96112,315.56,United States,NASDAQ,USD
WRB,WR BERKLEY CORP,Financials,Equity,30225067.8,0.02183,30225067.8,462157,65.4,United States,New York Stock Exchange Inc.,USD
SAAB B,SAAB CLASS B,Industrials,Equity,30206343.95,0.02182,30206343.95,484675,62.32,Sweden,Nasdaq Omx Nordic,SEK
WKL,WOLTERS KLUWER NV,Industrials,Equity,30171396.04,0.02179,30171396.04,368236,81.93,Netherlands,Euronext Amsterdam,EUR
TXT,TEXTRON INC,Industrials,Equity,30043682.06,0.0217,30043682.06,330914,90.79,United States,New York Stock Exchange Inc.,USD
RS,RELIANCE STEEL & ALUMINUM,Materials,Equity,29931333.16,0.02162,29931333.16,89084,335.99,United States,New York Stock Exchange Inc.,USD
PKG,PACKAGING CORP OF AMERICA,Materials,Equity,29900523.25,0.0216,29900523.25,142025,210.53,United States,New York Stock Exchange Inc.,USD
